City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
315,Labrea,BR,-7.2586,-64.7981,83.66,57,71,1.83,broken clouds
316,Sungurlu,TR,40.1675,34.3739,76.24,22,1,3.96,clear sky
317,Peniche,PT,39.3558,-9.3811,69.3,93,61,8.93,broken clouds
318,Egvekinot,RU,66.3167,-179.1667,36.54,88,100,11.88,light rain
319,Uvat,RU,59.1433,68.8953,49.06,55,71,10.47,broken clouds
320,Abnub,EG,27.2696,31.1511,77.22,35,0,2.01,clear sky
321,Xinqing,CN,48.2333,129.5,54.7,98,59,5.19,broken clouds
322,Lahijan,IR,37.2061,50.0029,65.98,74,0,3.15,clear sky
323,Vostok,RU,46.4856,135.8833,58.14,95,100,2.15,overcast clouds
324,Harper,LR,4.375,-7.7169,76.32,85,87,8.59,light rain
325,Lompoc,US,34.6391,-120.4579,78.69,62,0,14.97,clear sky
326,Pinawa,CA,50.1489,-95.8811,60.46,89,100,3.71,overcast clouds
327,Sarahan,IN,31.5167,77.8,56.55,78,14,4.54,few clouds
328,Maniitsoq,GL,65.4167,-52.9,46.58,87,100,11.05,overcast clouds
329,Shache,CN,38.4167,77.2406,71.71,33,95,3.74,overcast clouds
330,Susanville,US,40.4163,-120.653,73.24,27,0,18.41,clear sky
331,Robertsport,LR,6.7533,-11.3686,76.87,86,100,14.99,light rain
332,Mudon,MM,16.2578,97.7164,74.64,95,99,4.88,overcast clouds
333,Chino Valley,US,34.7575,-112.4538,85.75,28,0,8.05,clear sky
334,Ndele,CF,8.4109,20.6473,69.35,99,100,3.02,light rain
335,Zhanaozen,KZ,43.3,52.8,71.2,32,66,10.16,broken clouds
336,Lerwick,GB,60.1545,-1.1494,46.4,70,100,16.24,light rain
337,Eyrarbakki,IS,63.863,-21.1481,50.05,85,79,10.87,broken clouds
338,Longyearbyen,SJ,78.2186,15.6401,30.04,86,75,9.22,broken clouds
339,Chaupimarca,PE,-10.4333,-76.5333,40.21,79,90,4.85,light rain
340,Yagodnoye,RU,62.55,149.6667,41.72,43,16,3.65,few clouds
341,Northam,GB,51.0333,-4.2167,54.61,73,31,8.03,scattered clouds
342,Marawi,PH,7.9986,124.2928,72.77,80,74,3.51,broken clouds
343,Buchanan,LR,5.8808,-10.0467,75.65,88,100,8.75,light rain
344,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,48.79,62,0,11.18,clear sky
345,Kroya,ID,-7.6331,109.2461,76.51,85,100,7.52,overcast clouds
346,Itarema,BR,-2.9248,-39.9167,77.9,84,34,16.6,scattered clouds
